,Unicode,Character
1052,\u521B,创
1053,\u521C,刜
1054,\u521D,初
1055,\u521E,刞
1056,\u521F,刟
1057,\u5220,删
1058,\u5221,刡
1059,\u5222,刢
1060,\u5223,刣
1061,\u5224,判
1062,\u5225,別
1063,\u5226,刦
1064,\u5227,刧
1065,\u5228,刨
1066,\u5229,利
1067,\u522A,刪
1068,\u522B,别
1069,\u522C,刬
1070,\u522D,刭
1071,\u522E,刮
1072,\u522F,刯
1073,\u5230,到
1074,\u5231,刱
1075,\u5232,刲
1076,\u5233,刳
1077,\u5234,刴
1078,\u5235,刵
1079,\u5236,制
1080,\u5237,刷
1081,\u5238,券
1082,\u5239,刹
1083,\u523A,刺
1084,\u523B,刻
1085,\u523C,刼
1086,\u523D,刽
1087,\u523E,刾
1088,\u523F,刿
1089,\u5240,剀
1090,\u5241,剁
1091,\u5242,剂
1092,\u5243,剃
1093,\u5244,剄
1094,\u5245,剅
1095,\u5246,剆
1096,\u5247,則
1097,\u5248,剈
1098,\u5249,剉
1099,\u524A,削
1100,\u524B,剋
1101,\u524C,剌
1102,\u524D,前
1103,\u524E,剎
1104,\u524F,剏
1105,\u5250,剐
1106,\u5251,剑
1107,\u5252,剒
1108,\u5253,剓
1109,\u5254,剔
1110,\u5255,剕
1111,\u5256,剖
1112,\u5257,剗
1113,\u5258,剘
1114,\u5259,剙
1115,\u525A,剚
1116,\u525B,剛
1117,\u525C,剜
1118,\u525D,剝
1119,\u525E,剞
1120,\u525F,剟
1121,\u5260,剠
1122,\u5261,剡
1123,\u5262,剢
1124,\u5263,剣
1125,\u5264,剤
1126,\u5265,剥
1127,\u5266,剦
1128,\u5267,剧
1129,\u5268,剨
1130,\u5269,剩
1131,\u526A,剪
1132,\u526B,剫
1133,\u526C,剬
1134,\u526D,剭
1135,\u526E,剮
1136,\u526F,副
1137,\u5270,剰
1138,\u5271,剱
1139,\u5272,割
1140,\u5273,剳
1141,\u5274,剴
1142,\u5275,創
1143,\u5276,剶
1144,\u5277,剷
1145,\u5278,剸
1146,\u5279,剹
1147,\u527A,剺
1148,\u527B,剻
1149,\u527C,剼
1150,\u527D,剽
1151,\u527E,剾
1152,\u527F,剿
1153,\u5280,劀
1154,\u5281,劁
1155,\u5282,劂
1156,\u5283,劃
1157,\u5284,劄
1158,\u5285,劅
1159,\u5286,劆
1160,\u5287,劇
1161,\u5288,劈
1162,\u5289,劉
1163,\u528A,劊
1164,\u528B,劋
1165,\u528C,劌
1166,\u528D,劍
1167,\u528E,劎
1168,\u528F,劏
1169,\u5290,劐
1170,\u5291,劑
1171,\u5292,劒
1172,\u5293,劓
1173,\u5294,劔
1174,\u5295,劕
1175,\u5296,劖
1176,\u5297,劗
1177,\u5298,劘
1178,\u5299,劙
1179,\u529A,劚
1180,\u529B,力
1181,\u529C,劜
1182,\u529D,劝
1183,\u529E,办
1184,\u529F,功
1185,\u52A0,加
1186,\u52A1,务
1187,\u52A2,劢
1188,\u52A3,劣
1189,\u52A4,劤
1190,\u52A5,劥
1191,\u52A6,劦
1192,\u52A7,劧
1193,\u52A8,动
1194,\u52A9,助
